,xrsa,xrsb
2017-09-04 00:00:00,2.5500164e-08,1.0089774e-06
2017-09-04 00:01:00,2.5954359e-08,1.0494683e-06
2017-09-04 00:02:00,2.177577e-08,1.029742e-06
2017-09-04 00:03:00,1.8959764e-08,1.0140387e-06
2017-09-04 00:04:00,1.9480574e-08,1.002004e-06
2017-09-04 00:05:00,1.855099e-08,1.002748e-06
2017-09-04 00:06:00,2.2411642e-08,1.0312993e-06
2017-09-04 00:07:00,2.3344255e-08,1.0656084e-06
2017-09-04 00:08:00,2.2820418e-08,1.0941121e-06
2017-09-04 00:09:00,3.067798e-08,1.1852167e-06
2017-09-04 00:10:00,2.9406236e-08,1.1907971e-06
2017-09-04 00:11:00,2.6724974e-08,1.156436e-06
2017-09-04 00:12:00,3.0314624e-08,1.1696432e-06
2017-09-04 00:13:00,3.385734e-08,1.209615e-06
2017-09-04 00:14:00,3.708666e-08,1.2505254e-06
2017-09-04 00:15:00,3.876264e-08,1.2865736e-06
2017-09-04 00:16:00,3.7536314e-08,1.3162929e-06
2017-09-04 00:17:00,4.4331063e-08,1.3799925e-06
2017-09-04 00:18:00,5.0480853e-08,1.4212836e-06
2017-09-04 00:19:00,4.9754142e-08,1.4428269e-06
2017-09-04 00:20:00,5.1298404e-08,1.4741036e-06
2017-09-04 00:21:00,5.1136407e-08,1.4907671e-06
2017-09-04 00:22:00,5.2888083e-08,1.4996699e-06
2017-09-04 00:23:00,5.1343825e-08,1.4916236e-06
2017-09-04 00:24:00,5.0214393e-08,1.4880071e-06
2017-09-04 00:25:00,5.484112e-08,1.5134264e-06
2017-09-04 00:26:00,5.7293768e-08,1.5339314e-06
2017-09-04 00:27:00,5.4385414e-08,1.5192448e-06
2017-09-04 00:28:00,5.3841894e-08,1.5229002e-06
2017-09-04 00:29:00,5.465944e-08,1.5513217e-06
2017-09-04 00:30:00,5.7657125e-08,1.6275017e-06
2017-09-04 00:31:00,5.798566e-08,1.6645188e-06
2017-09-04 00:32:00,5.624912e-08,1.642556e-06
2017-09-04 00:33:00,5.865635e-08,1.6351586e-06
2017-09-04 00:34:00,6.127857e-08,1.6923693e-06
2017-09-04 00:35:00,7.3235995e-08,1.782587e-06
2017-09-04 00:36:00,8.1184396e-08,1.8620115e-06
2017-09-04 00:37:00,8.3364526e-08,1.921969e-06
2017-09-04 00:38:00,8.235319e-08,1.9299764e-06
2017-09-04 00:39:00,8.531756e-08,1.9577878e-06
2017-09-04 00:40:00,8.2683236e-08,1.9768654e-06
2017-09-04 00:41:00,7.897247e-08,1.9762683e-06
2017-09-04 00:42:00,7.646077e-08,1.9679105e-06
2017-09-04 00:43:00,7.478025e-08,1.9527265e-06
2017-09-04 00:44:00,6.9840134e-08,1.9260874e-06
2017-09-04 00:45:00,6.5968884e-08,1.898609e-06
2017-09-04 00:46:00,6.424295e-08,1.8797911e-06
2017-09-04 00:47:00,6.419752e-08,1.8682407e-06
2017-09-04 00:48:00,6.966451e-08,1.9031296e-06
2017-09-04 00:49:00,6.669559e-08,1.912755e-06
2017-09-04 00:50:00,5.8974287e-08,1.8649963e-06
2017-09-04 00:51:00,5.2497477e-08,1.816191e-06
2017-09-04 00:52:00,4.9072852e-08,1.7836252e-06
2017-09-04 00:53:00,4.7937366e-08,1.735737e-06
2017-09-04 00:54:00,4.5340887e-08,1.693373e-06
2017-09-04 00:55:00,3.9807286e-08,1.6455409e-06
2017-09-04 00:56:00,3.7490896e-08,1.607386e-06
2017-09-04 00:57:00,3.7717992e-08,1.5800027e-06
2017-09-04 00:58:00,3.5637783e-08,1.5562533e-06
2017-09-04 00:59:00,3.5129084e-08,1.5327633e-06
2017-09-04 01:00:00,3.3176047e-08,1.5334123e-06
2017-09-04 01:01:00,3.9589274e-08,1.571433e-06
2017-09-04 01:02:00,5.3523955e-08,1.6598166e-06
2017-09-04 01:03:00,6.0654806e-08,1.6981012e-06
2017-09-04 01:04:00,6.105904e-08,1.7215997e-06
2017-09-04 01:05:00,6.038229e-08,1.7278204e-06
2017-09-04 01:06:00,5.465944e-08,1.7428747e-06
2017-09-04 01:07:00,5.002666e-08,1.7468979e-06
2017-09-04 01:08:00,4.5648225e-08,1.7039109e-06
2017-09-04 01:09:00,4.5848072e-08,1.6578698e-06
2017-09-04 01:10:00,4.3440842e-08,1.6102412e-06
2017-09-04 01:11:00,3.9589274e-08,1.5557515e-06
2017-09-04 01:12:00,3.630999e-08,1.5175793e-06
2017-09-04 01:13:00,3.1813464e-08,1.4848752e-06
2017-09-04 01:14:00,2.817991e-08,1.4523007e-06
2017-09-04 01:15:00,2.5407811e-08,1.4249044e-06
2017-09-04 01:16:00,2.5409324e-08,1.4012978e-06
2017-09-04 01:17:00,3.294895e-08,1.4024658e-06
2017-09-04 01:18:00,3.3266886e-08,1.3738453e-06
2017-09-04 01:19:00,3.0132945e-08,1.3422485e-06
2017-09-04 01:20:00,3.1677207e-08,1.3182396e-06
2017-09-04 01:21:00,3.111552e-08,1.2732324e-06
2017-09-04 01:22:00,2.9633332e-08,1.2655495e-06
2017-09-04 01:23:00,2.4273838e-08,1.2410213e-06
2017-09-04 01:24:00,2.3229193e-08,1.2473805e-06
2017-09-04 01:25:00,2.7515274e-08,1.2792541e-06
2017-09-04 01:26:00,2.3819645e-08,1.2327155e-06
2017-09-04 01:27:00,2.100364e-08,1.204294e-06
2017-09-04 01:28:00,1.9348857e-08,1.1807739e-06
2017-09-04 01:29:00,2.1366995e-08,1.1529017e-06
2017-09-04 01:30:00,2.577268e-08,1.1788575e-06
2017-09-04 01:31:00,3.2300967e-08,1.246511e-06
2017-09-04 01:32:00,3.6582506e-08,1.3007194e-06
2017-09-04 01:33:00,3.8535543e-08,1.3310877e-06
2017-09-04 01:34:00,4.2532452e-08,1.3440655e-06
2017-09-04 01:35:00,4.2091884e-08,1.3315678e-06
2017-09-04 01:36:00,3.885348e-08,1.3216138e-06
2017-09-04 01:37:00,3.385734e-08,1.280474e-06
2017-09-04 01:38:00,3.0500843e-08,1.2369766e-06
2017-09-04 01:39:00,2.8815784e-08,1.2164933e-06
2017-09-04 01:40:00,3.0178366e-08,1.2260969e-06
2017-09-04 01:41:00,2.9139775e-08,1.2156496e-06
2017-09-04 01:42:00,2.6272295e-08,1.1967669e-06
2017-09-04 01:43:00,2.6045198e-08,1.1724983e-06
2017-09-04 01:44:00,2.5954359e-08,1.1730174e-06
2017-09-04 01:45:00,2.444189e-08,1.1772612e-06
2017-09-04 01:46:00,2.3002094e-08,1.160948e-06
2017-09-04 01:47:00,2.3910482e-08,1.1303204e-06
2017-09-04 01:48:00,1.9480574e-08,1.1167931e-06
2017-09-04 01:49:00,2.1503253e-08,1.0943717e-06
2017-09-04 01:50:00,2.0640284e-08,1.0764622e-06
2017-09-04 01:51:00,2.09128e-08,1.07192e-06
2017-09-04 01:52:00,2.1324604e-08,1.0730101e-06
2017-09-04 01:53:00,1.7506343e-08,1.0820427e-06
2017-09-04 01:54:00,1.9686476e-08,1.0981353e-06
2017-09-04 01:55:00,1.9261046e-08,1.1110222e-06
2017-09-04 01:56:00,2.1185317e-08,1.14226e-06
2017-09-04 01:57:00,2.1321576e-08,1.1448554e-06
2017-09-04 01:58:00,2.088555e-08,1.1334782e-06
2017-09-04 01:59:00,2.1185317e-08,1.1256483e-06
2017-09-04 02:00:00,2.2093706e-08,1.1072198e-06
2017-09-04 02:01:00,2.1548672e-08,1.0932037e-06
2017-09-04 02:02:00,2.242224e-08,1.0795337e-06
2017-09-04 02:03:00,2.1412415e-08,1.0741262e-06
2017-09-04 02:04:00,1.9141442e-08,1.0676373e-06
2017-09-04 02:05:00,2.0622116e-08,1.0567013e-06
